72,IrreVRsible,2016,0,0,0,0,0,0,0,5.99,5.99,1255
73,Kodon,2016,0,0,0,0,0,0,0,19.99,19.99,2152
74,"Pirates of the Polygon Sea",2016,0,0,0,0,0,0,0,12.99,12.99,803
75,Metamorphic,2016,0,0,0,0,0,0,1,12.99,12.99,897
76,"Music Wars Empire",2016,0,0,0,0,0,0,0,14.99,14.99,6636
77,"Hunter's Legacy",2016,0,1,1,58,1,0,15,6.99,6.99,0
78,ESEA,2016,0,0,1,0,0,431,0,0,0,185089
79,"Framed Wings",2016,0,0,0,0,0,0,20,3.99,3.99,0
80,"Gothic 3",2009,0,0,0,63,0,1707,0,9.99,9.99,428287
81,"BoX -containment-",2016,0,0,0,0,0,0,0,4.99,4.99,2152
82,"Drunk Wizards",2016,0,0,0,0,0,0,0,7.99,7.99,22419
83,"Space Universe",2016,0,0,0,0,0,0,0,14.99,14.99,0
84,Cuties,2016,0,0,0,0,0,0,0,3.99,3.99,25826
85,Doodler,2016,0,0,0,0,1,0,12,4.99,4.99,0
86,"Crazy Stone Deep Learning -The First Edition-",2016,0,0,0,0,0,0,0,79.99,79.99,535
87,"Mitch: Berry Challenge",2016,0,0,0,0,1,0,25,3.99,3.99,0
88,"Floppy Heroes",2016,0,0,0,0,0,0,10,2.99,2.09,7174
89,"Slash or Die",2016,0,0,0,0,0,147,10,2.99,2.99,4484
90,"Dogfight Elite",2016,0,0,0,0,0,0,0,19.99,19.99,0
91,Inbound,2016,0,0,0,0,0,0,0,12.99,12.99,1793
92,Satanist,2016,0,0,0,0,0,0,0,2.99,2.99,0
93,"Slap Village - Reality Slap",2016,0,0,0,0,0,0,24,14.99,14.99,897
94,"The Bunker",2016,0,0,0,0,1,0,0,0,0,4125
95,"System Crash",2016,0,1,1,0,0,0,23,14.99,14.99,1255
96,"Final Approach: Pilot Edition",2016,0,0,0,0,1,0,0,24.99,24.99,20805
97,"Mini Thief",2016,0,1,0,0,1,0,15,3.99,3.99,5919
98,"Sicario: Stepping Into Darkness: The Visual Design of Sicario",2016,0,0,0,0,1,0,0,0,0,0
99,"Sicario: Blunt Brolin & Benicio: Portraying the Characters of Sicario",2016,0,0,0,0,1,0,0,0,0,0
100,"Sicario: Battle Zone: The Origins of Sicario",2016,0,0,0,0,1,0,0,0,0,0
101,"The Guild Gold Edition",2014,0,0,0,82,0,105,0,9.99,9.99,115501
102,"Sicario: A Pulse from the Desert: The Score of Sicario",2016,0,0,0,0,1,0,0,0,0,0
103,"Emily: Displaced",2016,0,0,0,0,0,0,0,14.99,14.99,0
